Dim.1,Dim.2,Dim.3,Dim.4,Dim.5,Class
-0.376873737,2.314498726,-1.282860433,-0.231820143,1.455827034,R5
-1.542370694,2.756931254,-0.076208784,0.180711897,-0.324855145,R5
-0.550590747,2.363969323,0.045187176,0.724013639,-0.00044284,R5
-0.728971572,2.560374868,-0.358213812,0.166748682,0.045402314,R5
-0.498998001,3.115705885,0.102824771,-0.265244366,-0.400530199,R5
-0.049857787,0.679688715,0.215689558,0.734464348,0.62636891,R5
-0.38255574,0.788697981,-0.105960243,1.003697679,0.417443691,R5
-0.533170341,0.531807872,0.687992696,1.473399084,0.062437671,R5
-1.671437567,0.011102922,0.585722433,0.591769312,-0.078837165,R5
-1.155931423,0.398544003,0.092270217,0.257413929,0.540257794,R5
-0.258353666,-0.144846451,0.704809535,1.069282413,0.233640095,R5
-1.69132535,0.704684687,-0.211802847,-0.04681727,0.124453121,R5
-0.565756231,1.630378502,-0.148914055,-0.341690621,0.33922547,R5
-1.612973305,0.399635705,0.440058177,-0.26938099,0.629412287,R5
-1.413080683,-0.177448201,0.420874231,1.089615716,-0.324346239,R5
-1.488629376,0.507553269,-0.229379584,0.52664726,0.331332575,R5
-2.14771137,0.791505934,-0.029125744,-0.285887813,0.215845489,R5
-0.982943856,-0.238966373,-1.469396602,0.862522165,0.220649145,R5
-1.945671258,0.508644971,0.118408376,-0.000147659,0.420487068,R5
-0.190910775,1.062367616,-0.380557252,0.034021386,-0.040376426,R5
-0.609198229,-2.890699672,-1.486200278,-0.693972333,-0.978620904,R5
-0.335060704,-3.650138878,-3.188013964,-1.563134764,-4.343149087,R5
0.294979097,-1.292993423,-0.522177194,-0.518773658,-0.260902185,R5
-0.070615783,-2.410601736,-1.785022145,-0.303818878,-0.779565869,R5
-0.243603349,-1.773091359,-0.223355327,-0.908927114,-0.459957219,R5
-0.390506532,0.533315462,1.368379751,1.205880195,3.974370641,R5
-1.041637734,1.072650646,0.094293597,0.191162606,0.301956605,R5
0.324039025,1.165640721,-0.151555139,-0.90897764,-0.695929815,R5
-0.988232392,-0.418100141,0.094235349,1.211831282,-0.468664452,R5
-0.878175384,0.722169204,0.006208688,-0.638577025,-0.160502359,R5
1.198051854,1.7353515,-0.452384776,-2.854041934,-0.834468384,R5
-1.116312696,0.544731175,1.163682955,0.577183631,0.463278409,R5
0.842259017,-0.395579091,-0.331565256,1.768374174,1.549520014,R5
-2.072868927,-1.144528024,-0.38542307,-1.842689866,0.942701642,R5
-3.014181058,-2.104242093,1.020737885,1.931305934,-2.147996073,R5
-1.745846783,-3.993620979,1.300861652,2.395660254,-2.166956332,R5
-1.312834555,0.3257454,0.639027789,-0.39702601,-0.25255838,R5
-2.002906417,-0.470155519,-1.404280463,0.459157085,-0.108402007,R5
-2.822927901,-0.124436256,-1.418990148,0.922809137,-0.931783339,R5
-2.48353755,-0.303282705,1.641362877,-1.623293002,-0.343315307,R5
-0.933307021,0.549637776,-1.784256087,-0.457495924,-2.089810125,R5
-1.624452111,1.850425511,0.335753798,-0.202722279,-0.571764233,R5
-1.443174257,-1.024113292,-0.51871371,0.249804989,0.526553276,R5
0.153780646,-1.641304855,-1.405924875,-1.907198671,0.582677994,R5
-1.079378252,-3.281312257,1.359219366,1.661856102,-0.440182731,R5
-1.289515381,-3.703777367,1.551005886,1.6165116,-0.255184765,R5
0.943922618,-2.859684501,-2.321544726,1.703726095,1.733560197,R5
0.272131047,-1.160765129,-1.53649661,-3.244196462,0.999180186,R5
-1.032243356,0.420732022,-0.412056687,0.765717803,0.239940207,R5
2.048187033,0.446644829,-4.027817085,0.190559429,-1.543681655,R5
-0.927071056,0.890401612,-0.654887095,-0.309832418,-0.41959656,R5
-0.875973524,-0.414201022,0.520830023,-0.056721427,0.704600575,R5
-0.214543421,0.685542784,0.147266729,-1.299131095,-0.89498485,R5
-0.674773822,-0.099604135,1.09794962,-1.911848271,-0.589080718,R5
3.288467456,1.06666613,1.229222831,-0.41442988,0.10378692,R5
-1.154730622,1.830241278,0.083508363,-2.831690842,-1.619484514,R5
0.628554364,0.432480377,0.356606762,-1.038274309,-0.491643443,R5
-0.153178449,1.729765336,-1.566062252,-1.174841562,-1.908504015,R5
1.055443919,1.659562759,1.334898568,1.235208187,1.055909135,R5
-0.040826411,0.636072187,-1.180780881,-2.254964877,0.561285023,R5
-1.926217733,-0.409771873,0.545098318,0.261127134,-0.328061182,R5
-0.391185683,0.450530579,-0.350250774,0.740834435,0.438640035,R5
-0.383420573,0.007194791,1.707799443,-0.644543327,-1.364693051,R5
0.723540258,-1.265424772,0.478801031,0.511652294,1.229933504,R5
-0.302913575,0.348174789,0.881677927,0.563220416,0.833535867,R5
-0.091046934,0.376640274,-0.151281162,0.613189414,-0.443330633,R5
-1.002688495,-0.669474573,-0.908849489,1.056649394,-0.563225027,R5
-1.59111167,0.685676414,1.123676422,-1.096691533,-0.278975898,R5
4.480876509,-0.623756584,-0.869160861,-0.106826779,-0.137009867,R5
0.567716892,0.365007502,-0.790808252,-1.952238991,1.419207878,R5
-0.671585303,0.686634486,0.495054689,-1.825926014,-0.805830357,R5
-0.565363932,0.292247634,0.709141774,1.068819731,0.007273951,R5
-1.206323368,1.078504715,0.025870768,-1.842432837,-1.219397155,R5
-1.686357398,-1.444200575,-1.526498435,-2.249208784,0.010565864,R5
-1.349751019,-0.243166472,-0.383195338,-0.798673726,1.112245095,R5
-2.563188735,0.51270829,0.215866436,0.828296248,-0.95405379,R5
-1.93633418,0.890450438,1.14897327,1.040835684,-0.360102923,R5
-1.257760532,0.43768795,-1.486213441,1.266638835,0.049446721,R5
0.415341922,0.617177972,-0.428953951,0.598763517,-0.299439318,R5
-1.410277331,0.202504287,0.42248144,0.30408354,0.836291742,R5
1.149096773,0.740359777,0.052390997,1.719239333,0.852044041,R5
-0.059294763,0.996746872,1.986316111,2.828544449,-0.857498602,R5
0.031524475,0.086990164,1.481786005,-2.845273692,0.190672082,R5
0.422213439,0.253974193,-0.632255801,0.72687122,0.808897493,R5
-0.197909572,-0.707313383,-0.382400027,0.473359228,0.32163293,R5
3.049312961,-2.130327084,1.560446278,0.014675721,0.123020858,R5
-1.843196031,0.058345591,0.479036157,-0.415184482,0.420131862,R5
1.698519059,1.341088431,0.460637954,-0.336303108,-2.571856876,R5
-1.464562607,0.44926736,1.7863253,-1.227918946,1.530990522,R5
-1.056723368,0.454487479,2.057660967,0.26783345,0.528144139,R5
0.503556518,1.4734026,-0.508194407,0.394225213,-1.942798044,R5
-0.342532301,0.201987617,-0.189734811,0.243450714,0.910515253,R5
-0.059273505,-1.538343678,-1.036795602,-1.020600872,1.315326467,R5
-0.292797128,-0.952047522,0.277802975,-0.216488134,0.865577608,R5
0.81513408,1.234868891,-0.008677875,-0.268756873,0.59653901,R5
-0.567613804,-0.275393199,0.260986136,0.187628536,0.694375185,R5
-0.779885166,1.262230392,-0.148134834,-2.455978836,-1.999086411,R5
0.213364498,0.036886538,-0.607563957,0.205171611,1.109201718,R5
0.488724659,1.159786652,-0.083132309,1.124617803,0.825423945,R5
-0.488818584,-0.457387771,-0.712283915,-1.854431388,0.572461975,R5
-2.60794177,0.006359015,0.921557147,-0.898604988,0.521749621,R5
-1.03430835,-0.765817786,-2.346723264,-0.149133795,1.46077895,R5
0.686004659,-0.33001372,0.840059405,1.076516335,0.751757214,R5
3.348848873,-1.395759229,3.504516281,-0.798034559,-1.431870706,R5
0.336796442,-1.247189323,-2.807158319,-3.93232742,1.122035758,R5
-0.336156375,1.229834036,0.844312725,0.539248245,0.563576027,R5
-2.050293975,0.664721409,-0.408937471,1.488145716,-0.73755783,R5
-0.86006839,1.662483722,-0.105200345,0.834349819,0.039361813,R5
-0.012008301,2.84406726,-0.253634691,1.114167094,0.198612195,R5
1.323281318,-1.155660138,2.892392962,-0.98261796,-0.515910485,R5
0.548738809,-1.128925737,1.712650691,-0.510014421,1.267265221,R5
-0.945915441,-1.975015019,1.658057735,-0.480448135,1.010505392,R5
-2.50334118,-2.040841076,-0.861689218,-1.417351775,0.580743581,R5
0.916741776,0.701882864,0.161973703,-0.017511999,2.012451179,R5
0.070227279,-0.478125759,1.215975742,-1.234300535,-1.474572649,R5
-0.424565466,-0.842701656,-2.325534142,-2.059126882,-4.51535705,R5
0.011619873,0.257431423,0.003567605,-1.205864045,-1.195657644,R5
0.658753228,-0.382044994,1.413446983,-1.559444344,-0.892509387,R5
-3.696978369,-0.000530601,1.829592318,-0.968910126,0.125901977,R5
-3.645385623,0.751205962,1.887229913,-1.958168131,-0.274185382,R5
0.176305506,0.251577354,0.071990435,0.827731398,0.325696116,R5
0.384801384,1.076112519,-0.417129542,0.492913333,0.718424932,R5
-1.903015599,-0.176166167,0.596462656,2.27823929,-1.341401351,R5
-1.966591447,-1.41756636,0.130956789,2.228192575,-1.768740529,R5
-1.694519721,0.648368999,0.107342679,1.943421224,-0.948672536,R5
-1.255882244,-0.815642584,2.006342034,1.92465899,-1.038253094,R5
-0.637093616,0.44813374,0.353995463,0.841694614,-0.044561342,R5
-2.574100224,-1.361825704,0.076239555,0.825381826,-0.858992876,R5
